Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
II,20,Mesial,Oclusal,Lingual,ninguna,ninguna,39.25,limpia,Bulk,Con fibra de vidrio,1.25,136.47,11.73,-0.11,Subobturado
II,28,Mesial,Oclusal,Bucal,ninguna,ninguna,44.25,con_tejido,Bulk,Compuesta,3.75,348.17,38.27,-0.06,Subobturado
VI,25,Incisal,ninguna,ninguna,ninguna,ninguna,21.75,limpia,Estratificacion,Bulk,3.0,229.46,35.76,0.01,Equiobturado
II,5,Distal,Oclusal,ninguna,ninguna,ninguna,25.75,con_tejido,Estratificacion,Fluida,3.25,111.72,6.33,0.14,Sobreobturado
II,2,Mesial,Distal,Oclusal,ninguna,ninguna,76.75,con_tejido,Bulk,Bulk,2.75,501.12,46.64,0.06,Equiobturado
II,16,Mesial,Oclusal,Bucal,ninguna,ninguna,48.0,limpia,Estratificacion,Compuesta,3.75,406.29,22.71,0.09,Equiobturado
II,32,Distal,Oclusal,ninguna,ninguna,ninguna,35.75,con_tejido,Estratificacion,Con fibra de vidrio,1.5,142.34,15.89,-0.02,Subobturado
III,10,Mesial,Lingual,ninguna,ninguna,ninguna,14.75,con_tejido,Estratificacion,Compuesta,3.0,156.69,10.35,0.13,Sobreobturado
I,2,Oclusal,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Estratificacion,Con fibra de vidrio,3.5,287.5,15.41,0.2,Sobreobturado
I,27,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Bulk,Fluida,1.75,77.5,6.1,-0.09,Subobturado
II,15,Mesial,Oclusal,ninguna,ninguna,ninguna,55.5,con_tejido,Estratificacion,Compuesta,1.75,269.0,34.39,0.14,Sobreobturado
II,12,Distal,Oclusal,Bucal,ninguna,ninguna,47.0,limpia,Estratificacion,Fluida,2.25,254.73,25.73,-0.2,Subobturado
II,32,Distal,Oclusal,Bucal,ninguna,ninguna,59.75,limpia,Estratificacion,Compuesta,3.5,440.87,67.27,-0.09,Subobturado
I,21,Bucal,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Estratificacion,Con fibra de vidrio,3.5,151.0,13.06,-0.06,Subobturado
II,15,Mesial,Distal,Oclusal,ninguna,ninguna,56.5,con_tejido,Bulk,Compuesta,3.5,482.75,77.87,0.07,Equiobturado
IV,11,Distal,Bucal,Lingual,ninguna,ninguna,31.5,con_tejido,Bulk,Fluida,2.0,195.45,20.82,0.05,Equiobturado
II,19,Mesial,Oclusal,Bucal,ninguna,ninguna,50.0,limpia,Bulk,Fluida,3.25,442.5,50.38,0.16,Sobreobturado
V,32,Bucal,ninguna,ninguna,ninguna,ninguna,14.0,con_tejido,Estratificacion,Compuesta,2.75,220.0,19.91,0.19,Sobreobturado
II,15,Distal,Oclusal,Lingual,ninguna,ninguna,76.0,con_tejido,Bulk,Bulk,2.0,446.0,58.61,0.05,Equiobturado
I,22,Bucal,ninguna,ninguna,ninguna,ninguna,2.25,limpia,Estratificacion,Fluida,2.75,90.63,5.53,0.05,Equiobturado
II,19,Distal,Oclusal,Bucal,ninguna,ninguna,76.25,limpia,Bulk,Fluida,2.5,481.88,51.49,0.11,Sobreobturado
II,30,Distal,Oclusal,ninguna,ninguna,ninguna,48.0,limpia,Bulk,Compuesta,1.25,231.5,37.64,0.17,Sobreobturado
II,31,Mesial,Distal,Oclusal,Lingual,ninguna,120.0,con_tejido,Bulk,Con fibra de vidrio,4.0,1000.0,85.21,-0.18,Subobturado
I,23,Bucal,ninguna,ninguna,ninguna,ninguna,5.5,limpia,Estratificacion,Compuesta,2.75,147.5,21.8,0.03,Equiobturado
I,24,Lingual,ninguna,ninguna,ninguna,ninguna,2.0,limpia,Bulk,Compuesta,1.5,42.5,7.2,-0.07,Subobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Estratificacion,Fluida,3.0,138.75,10.89,-0.12,Subobturado
V,22,Lingual,ninguna,ninguna,ninguna,ninguna,5.5,limpia,Bulk,Con fibra de vidrio,3.75,215.94,14.77,0.09,Equiobturado
I,19,Oclusal,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Con fibra de vidrio,3.75,271.43,35.93,0.06,Equiobturado
II,3,Mesial,Oclusal,Bucal,ninguna,ninguna,52.0,con_tejido,Estratificacion,Fluida,3.0,432.0,45.48,0.04,Equiobturado
V,27,Bucal,ninguna,ninguna,ninguna,ninguna,13.75,limpia,Estratificacion,Fluida,1.5,136.72,18.1,0.15,Sobreobturado
V,22,Lingual,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Estratificacion,Bulk,3.75,244.37,43.26,0.17,Sobreobturado
II,2,Mesial,Oclusal,ninguna,ninguna,ninguna,41.75,limpia,Bulk,Fluida,2.75,257.75,30.11,-0.09,Subobturado
I,8,Lingual,ninguna,ninguna,ninguna,ninguna,2.75,con_tejido,Bulk,Compuesta,3.25,116.87,17.09,-0.13,Subobturado
II,14,Mesial,Distal,Oclusal,Bucal,Lingual,113.25,con_tejido,Estratificacion,Con fibra de vidrio,1.5,931.11,152.35,-0.07,Subobturado
V,22,Lingual,ninguna,ninguna,ninguna,ninguna,6.25,limpia,Bulk,Bulk,3.0,173.28,30.45,0.15,Sobreobturado
I,7,Oclusal,ninguna,ninguna,ninguna,ninguna,2.25,con_tejido,Bulk,Con fibra de vidrio,3.5,116.88,20.94,0.05,Equiobturado
III,27,Mesial,Lingual,ninguna,ninguna,ninguna,13.0,con_tejido,Estratificacion,Bulk,1.25,84.5,9.12,-0.12,Subobturado
III,27,Mesial,Lingual,ninguna,ninguna,ninguna,14.0,limpia,Bulk,Con fibra de vidrio,3.0,150.5,20.0,0.16,Sobreobturado
I,8,Oclusal,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Bulk,Bulk,3.25,165.0,14.42,0.08,Equiobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,limpia,Estratificacion,Con fibra de vidrio,2.25,108.25,7.96,0.07,Equiobturado
II,19,Mesial,Oclusal,Bucal,ninguna,ninguna,58.75,limpia,Bulk,Compuesta,1.75,368.12,16.82,0.04,Equiobturado
II,3,Distal,Oclusal,Bucal,ninguna,ninguna,66.25,con_tejido,Bulk,Fluida,1.75,394.38,20.75,0.03,Equiobturado
I,21,Bucal,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Estratificacion,Compuesta,3.25,160.0,15.23,0.18,Sobreobturado
V,9,Lingual,ninguna,ninguna,ninguna,ninguna,13.0,limpia,Estratificacion,Fluida,3.0,228.12,36.92,-0.03,Subobturado
V,32,Lingual,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Estratificacion,Compuesta,2.0,104.22,14.12,-0.18,Subobturado
I,26,Lingual,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Estratificacion,Compuesta,4.0,151.88,27.22,0.09,Equiobturado
I,23,Lingual,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Bulk,Fluida,3.0,156.25,11.13,-0.18,Subobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Estratificacion,Con fibra de vidrio,1.25,90.62,6.46,-0.04,Subobturado
III,7,Mesial,Lingual,ninguna,ninguna,ninguna,8.25,con_tejido,Bulk,Con fibra de vidrio,2.75,94.81,11.97,-0.1,Subobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,27.25,limpia,Estratificacion,Compuesta,3.5,287.58,20.01,0.14,Sobreobturado
II,13,Distal,Oclusal,Lingual,ninguna,ninguna,43.75,limpia,Estratificacion,Bulk,2.5,254.0,14.87,0.13,Sobreobturado
V,29,Bucal,ninguna,ninguna,ninguna,ninguna,17.25,con_tejido,Bulk,Fluida,1.75,181.41,18.53,-0.04,Subobturado
I,29,Lingual,ninguna,ninguna,ninguna,ninguna,4.25,con_tejido,Bulk,Con fibra de vidrio,1.25,56.5,7.86,0.15,Sobreobturado
V,13,Bucal,ninguna,ninguna,ninguna,ninguna,9.75,con_tejido,Estratificacion,Fluida,3.25,217.97,38.32,-0.04,Subobturado
II,19,Mesial,Oclusal,Bucal,ninguna,ninguna,55.5,con_tejido,Estratificacion,Compuesta,3.0,444.25,24.06,0.14,Sobreobturado
V,28,Bucal,ninguna,ninguna,ninguna,ninguna,4.25,limpia,Bulk,Fluida,1.5,59.53,4.72,-0.04,Subobturado
I,5,Oclusal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Fluida,3.75,164.5,11.48,0.06,Equiobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,44.5,limpia,Bulk,Fluida,1.75,236.0,22.06,-0.03,Subobturado
II,19,Mesial,Oclusal,Lingual,ninguna,ninguna,49.75,con_tejido,Estratificacion,Con fibra de vidrio,1.25,301.62,16.79,0.08,Equiobturado
V,28,Bucal,ninguna,ninguna,ninguna,ninguna,9.5,con_tejido,Estratificacion,Fluida,3.5,232.19,9.04,0.19,Sobreobturado
II,2,Distal,Oclusal,ninguna,ninguna,ninguna,57.75,con_tejido,Estratificacion,Con fibra de vidrio,1.25,260.75,14.95,0.03,Equiobturado
I,24,Bucal,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Fluida,1.25,51.25,7.34,0.11,Sobreobturado
V,20,Bucal,ninguna,ninguna,ninguna,ninguna,19.25,con_tejido,Estratificacion,Fluida,2.5,246.41,26.74,-0.05,Subobturado
II,30,Mesial,Distal,Oclusal,Bucal,ninguna,116.5,limpia,Bulk,Compuesta,2.5,866.0,63.58,0.07,Equiobturado
IV,22,Mesial,Bucal,Lingual,ninguna,ninguna,21.75,con_tejido,Bulk,Bulk,2.25,180.24,12.34,-0.2,Subobturado
II,31,Mesial,Oclusal,ninguna,ninguna,ninguna,43.75,limpia,Bulk,Bulk,1.25,218.75,11.99,0.06,Equiobturado
II,28,Mesial,Oclusal,Lingual,ninguna,ninguna,37.5,limpia,Estratificacion,Fluida,3.0,254.0,24.16,0.16,Sobreobturado
IV,7,Distal,Bucal,Lingual,ninguna,ninguna,8.75,con_tejido,Estratificacion,Compuesta,1.5,83.04,4.79,-0.05,Subobturado
I,30,Bucal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Fluida,2.0,118.75,20.66,0.1,Equiobturado
V,30,Lingual,ninguna,ninguna,ninguna,ninguna,19.25,limpia,Bulk,Con fibra de vidrio,1.25,92.54,9.88,-0.09,Subobturado
II,30,Mesial,Distal,Oclusal,ninguna,ninguna,76.25,con_tejido,Estratificacion,Bulk,1.75,429.38,60.02,0.01,Equiobturado
II,20,Distal,Oclusal,ninguna,ninguna,ninguna,38.25,con_tejido,Bulk,Bulk,3.25,152.97,25.8,0.14,Sobreobturado
II,16,Distal,Oclusal,Lingual,ninguna,ninguna,37.5,con_tejido,Estratificacion,Fluida,3.25,323.73,26.41,0.16,Sobreobturado
V,7,Lingual,ninguna,ninguna,ninguna,ninguna,10.75,con_tejido,Estratificacion,Bulk,2.5,177.34,11.82,-0.04,Subobturado
I,18,Oclusal,ninguna,ninguna,ninguna,ninguna,9.25,con_tejido,Estratificacion,Bulk,3.25,271.43,14.66,0.11,Sobreobturado
I,3,Bucal,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Con fibra de vidrio,4.0,260.71,26.56,0.04,Equiobturado
V,13,Bucal,ninguna,ninguna,ninguna,ninguna,7.75,con_tejido,Estratificacion,Compuesta,2.75,169.22,27.87,0.17,Sobreobturado
I,19,Oclusal,ninguna,ninguna,ninguna,ninguna,8.0,con_tejido,Bulk,Fluida,1.5,126.79,16.27,0.13,Sobreobturado
V,26,Lingual,ninguna,ninguna,ninguna,ninguna,9.25,con_tejido,Estratificacion,Compuesta,2.25,148.91,26.33,0.13,Sobreobturado
II,1,Distal,Oclusal,Lingual,ninguna,ninguna,61.25,con_tejido,Estratificacion,Compuesta,2.25,358.32,29.97,0.2,Sobreobturado
I,14,Bucal,ninguna,ninguna,ninguna,ninguna,10.5,limpia,Bulk,Fluida,2.0,191.07,24.1,0.01,Equiobturado
III,25,Distal,Lingual,ninguna,ninguna,ninguna,14.0,con_tejido,Estratificacion,Bulk,3.5,167.0,28.51,-0.13,Subobturado
II,3,Mesial,Oclusal,Lingual,ninguna,ninguna,54.0,con_tejido,Bulk,Bulk,1.5,334.0,48.8,0.0,Equiobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,23.0,con_tejido,Estratificacion,Bulk,4.0,337.68,13.58,0.13,Sobreobturado
II,14,Distal,Oclusal,Bucal,ninguna,ninguna,46.0,con_tejido,Bulk,Compuesta,1.5,306.0,34.09,0.03,Equiobturado
V,15,Bucal,ninguna,ninguna,ninguna,ninguna,35.5,limpia,Estratificacion,Bulk,3.5,333.12,31.21,0.09,Equiobturado
II,1,Distal,Oclusal,ninguna,ninguna,ninguna,35.0,limpia,Bulk,Compuesta,2.5,171.38,11.12,0.06,Equiobturado
II,17,Mesial,Oclusal,Bucal,ninguna,ninguna,48.25,limpia,Bulk,Fluida,2.25,300.3,48.35,0.03,Equiobturado
II,14,Mesial,Distal,Oclusal,Lingual,ninguna,107.25,con_tejido,Estratificacion,Compuesta,1.0,709.0,33.71,0.06,Equiobturado
II,16,Distal,Oclusal,Bucal,ninguna,ninguna,33.75,con_tejido,Estratificacion,Con fibra de vidrio,1.0,146.35,14.97,0.05,Equiobturado
VI,24,Incisal,ninguna,ninguna,ninguna,ninguna,15.5,con_tejido,Estratificacion,Bulk,1.5,117.07,6.16,0.14,Sobreobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,84.25,con_tejido,Estratificacion,Bulk,3.0,777.0,114.3,0.18,Sobreobturado
II,12,Mesial,Oclusal,ninguna,ninguna,ninguna,27.75,limpia,Bulk,Fluida,1.75,68.83,10.87,-0.04,Subobturado
II,13,Mesial,Oclusal,Bucal,ninguna,ninguna,32.5,con_tejido,Bulk,Con fibra de vidrio,2.25,170.05,13.15,0.13,Sobreobturado
II,29,Mesial,Distal,Oclusal,ninguna,ninguna,45.5,limpia,Estratificacion,Fluida,1.5,191.22,20.76,-0.05,Subobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,4.0,limpia,Estratificacion,Fluida,3.5,147.5,13.84,0.14,Sobreobturado
I,20,Oclusal,ninguna,ninguna,ninguna,ninguna,2.75,con_tejido,Bulk,Fluida,2.5,99.25,13.12,0.06,Equiobturado
I,17,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Estratificacion,Fluida,1.5,60.0,8.12,0.11,Sobreobturado
II,5,Mesial,Oclusal,Bucal,ninguna,ninguna,40.75,con_tejido,Estratificacion,Fluida,2.5,236.48,15.74,0.13,Sobreobturado
VI,9,Incisal,ninguna,ninguna,ninguna,ninguna,18.0,con_tejido,Estratificacion,Compuesta,3.5,239.02,28.34,0.17,Sobreobturado
V,26,Bucal,ninguna,ninguna,ninguna,ninguna,16.5,con_tejido,Bulk,Compuesta,3.0,256.56,19.89,-0.03,Subobturado
V,6,Bucal,ninguna,ninguna,ninguna,ninguna,10.0,limpia,Bulk,Compuesta,2.25,155.0,6.49,0.01,Equiobturado
II,2,Mesial,Distal,Oclusal,ninguna,ninguna,75.25,con_tejido,Estratificacion,Compuesta,1.75,425.88,37.25,-0.14,Subobturado
I,14,Bucal,ninguna,ninguna,ninguna,ninguna,11.25,con_tejido,Bulk,Con fibra de vidrio,3.0,274.11,21.21,0.04,Equiobturado
II,32,Mesial,Oclusal,Lingual,ninguna,ninguna,58.0,limpia,Bulk,Bulk,1.5,290.26,48.59,-0.1,Subobturado
V,13,Lingual,ninguna,ninguna,ninguna,ninguna,7.5,limpia,Bulk,Compuesta,2.0,118.44,17.41,-0.03,Subobturado
II,3,Distal,Oclusal,Lingual,ninguna,ninguna,76.0,con_tejido,Estratificacion,Compuesta,3.25,533.5,16.01,-0.13,Subobturado
II,20,Distal,Oclusal,ninguna,ninguna,ninguna,39.25,limpia,Bulk,Fluida,3.75,172.78,17.13,0.17,Sobreobturado
II,3,Distal,Oclusal,ninguna,ninguna,ninguna,59.25,limpia,Bulk,Bulk,2.5,302.75,9.13,0.15,Sobreobturado
V,10,Lingual,ninguna,ninguna,ninguna,ninguna,11.75,limpia,Estratificacion,Fluida,2.5,185.47,15.88,0.01,Equiobturado
I,26,Bucal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Bulk,4.0,178.12,23.83,-0.09,Subobturado
I,29,Bucal,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Estratificacion,Bulk,2.5,101.5,12.62,0.08,Equiobturado
II,28,Distal,Oclusal,ninguna,ninguna,ninguna,31.0,limpia,Bulk,Con fibra de vidrio,3.75,145.55,6.49,-0.19,Subobturado
V,18,Lingual,ninguna,ninguna,ninguna,ninguna,24.0,con_tejido,Estratificacion,Con fibra de vidrio,4.0,340.71,34.07,0.09,Equiobturado
II,1,Distal,Oclusal,Bucal,ninguna,ninguna,53.75,con_tejido,Bulk,Compuesta,3.5,414.1,47.86,0.18,Sobreobturado
IV,6,Mesial,Bucal,Lingual,ninguna,ninguna,45.25,limpia,Bulk,Bulk,2.5,277.44,9.96,-0.12,Subobturado
I,6,Bucal,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Estratificacion,Compuesta,2.25,121.25,17.62,-0.1,Subobturado
II,13,Mesial,Distal,Oclusal,ninguna,ninguna,35.0,limpia,Bulk,Fluida,3.25,257.65,8.17,0.17,Sobreobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Bulk,Bulk,1.25,86.25,4.9,0.05,Equiobturado
I,1,Bucal,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Bulk,Bulk,1.75,77.5,9.33,0.01,Equiobturado
II,4,Distal,Oclusal,ninguna,ninguna,ninguna,33.0,con_tejido,Estratificacion,Bulk,3.25,135.65,15.42,-0.11,Subobturado
V,2,Bucal,ninguna,ninguna,ninguna,ninguna,25.25,limpia,Bulk,Con fibra de vidrio,1.5,132.01,18.44,-0.05,Subobturado
IV,27,Distal,Bucal,Lingual,ninguna,ninguna,30.75,limpia,Bulk,Compuesta,3.75,317.17,29.46,-0.07,Subobturado
I,9,Oclusal,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Bulk,Compuesta,3.75,151.88,5.3,0.17,Sobreobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Fluida,3.0,112.5,6.55,-0.02,Subobturado
IV,7,Distal,Bucal,Lingual,ninguna,ninguna,24.75,con_tejido,Bulk,Compuesta,3.5,279.13,43.9,-0.04,Subobturado
II,18,Mesial,Distal,Oclusal,Lingual,ninguna,88.75,con_tejido,Estratificacion,Bulk,3.25,815.0,103.08,-0.17,Subobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,105.25,limpia,Estratificacion,Compuesta,1.25,721.0,31.83,0.13,Sobreobturado
II,30,Distal,Oclusal,Lingual,ninguna,ninguna,59.25,con_tejido,Bulk,Con fibra de vidrio,2.25,404.88,56.1,-0.13,Subobturado
II,19,Mesial,Distal,Oclusal,ninguna,ninguna,41.75,limpia,Estratificacion,Bulk,3.5,431.12,50.99,-0.15,Subobturado
II,31,Mesial,Distal,Oclusal,Bucal,ninguna,90.25,limpia,Estratificacion,Bulk,2.5,761.0,29.36,-0.02,Subobturado
II,18,Mesial,Oclusal,Lingual,ninguna,ninguna,72.5,con_tejido,Bulk,Bulk,2.25,451.25,21.38,0.06,Equiobturado
II,13,Distal,Oclusal,Bucal,ninguna,ninguna,44.75,limpia,Bulk,Bulk,3.5,332.84,30.98,-0.18,Subobturado
V,22,Lingual,ninguna,ninguna,ninguna,ninguna,16.5,con_tejido,Estratificacion,Bulk,1.25,142.81,17.17,0.08,Equiobturado
II,18,Distal,Oclusal,Bucal,ninguna,ninguna,55.75,con_tejido,Estratificacion,Con fibra de vidrio,2.75,427.62,68.27,0.15,Sobreobturado
II,30,Mesial,Distal,Oclusal,Bucal,ninguna,101.0,con_tejido,Estratificacion,Bulk,1.25,704.0,96.3,0.07,Equiobturado
II,18,Mesial,Oclusal,Bucal,ninguna,ninguna,78.5,limpia,Estratificacion,Compuesta,3.5,559.75,84.39,-0.02,Subobturado
V,16,Bucal,ninguna,ninguna,ninguna,ninguna,10.5,limpia,Estratificacion,Fluida,1.25,94.06,7.76,0.06,Equiobturado
IV,9,Mesial,Bucal,Lingual,ninguna,ninguna,14.25,con_tejido,Bulk,Con fibra de vidrio,1.25,83.88,7.29,0.13,Sobreobturado
II,20,Distal,Oclusal,Bucal,ninguna,ninguna,29.75,limpia,Estratificacion,Bulk,2.5,172.24,14.54,0.15,Sobreobturado
II,30,Mesial,Oclusal,ninguna,ninguna,ninguna,52.75,limpia,Estratificacion,Compuesta,1.5,253.25,44.96,0.15,Sobreobturado
V,23,Bucal,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Bulk,Compuesta,2.0,130.62,9.75,0.0,Equiobturado
I,19,Lingual,ninguna,ninguna,ninguna,ninguna,6.0,limpia,Estratificacion,Con fibra de vidrio,2.5,180.36,9.05,-0.17,Subobturado
II,32,Mesial,Oclusal,ninguna,ninguna,ninguna,40.0,con_tejido,Estratificacion,Con fibra de vidrio,2.5,187.08,32.85,0.13,Sobreobturado
III,6,Mesial,Lingual,ninguna,ninguna,ninguna,15.25,con_tejido,Bulk,Con fibra de vidrio,1.5,111.31,9.25,0.12,Sobreobturado
III,26,Distal,Lingual,ninguna,ninguna,ninguna,11.5,limpia,Bulk,Compuesta,3.5,146.38,21.46,-0.08,Subobturado
III,25,Mesial,Lingual,ninguna,ninguna,ninguna,12.25,limpia,Bulk,Fluida,3.5,152.56,7.52,-0.06,Subobturado
III,26,Mesial,Lingual,ninguna,ninguna,ninguna,14.25,limpia,Estratificacion,Bulk,2.5,136.06,19.88,0.16,Sobreobturado
I,19,Lingual,ninguna,ninguna,ninguna,ninguna,7.5,con_tejido,Estratificacion,Con fibra de vidrio,1.25,102.68,6.25,-0.16,Subobturado
V,19,Lingual,ninguna,ninguna,ninguna,ninguna,16.25,con_tejido,Estratificacion,Fluida,1.75,125.94,10.28,0.02,Equiobturado
III,11,Mesial,Lingual,ninguna,ninguna,ninguna,10.0,limpia,Estratificacion,Bulk,1.25,59.75,8.21,0.13,Sobreobturado
II,14,Mesial,Distal,Oclusal,Lingual,ninguna,87.75,limpia,Estratificacion,Con fibra de vidrio,1.25,651.0,62.14,-0.08,Subobturado
II,29,Distal,Oclusal,ninguna,ninguna,ninguna,29.5,limpia,Estratificacion,Fluida,2.75,107.6,10.67,0.07,Equiobturado
III,7,Distal,Lingual,ninguna,ninguna,ninguna,16.0,con_tejido,Estratificacion,Fluida,3.0,167.0,10.15,0.06,Equiobturado
I,24,Lingual,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Estratificacion,Compuesta,1.5,95.0,6.94,0.14,Sobreobturado
I,3,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Estratificacion,Fluida,3.0,191.07,13.37,0.08,Equiobturado
II,13,Mesial,Oclusal,Lingual,ninguna,ninguna,39.0,limpia,Bulk,Fluida,3.25,281.01,37.36,-0.15,Subobturado
II,3,Distal,Oclusal,ninguna,ninguna,ninguna,47.0,con_tejido,Bulk,Bulk,3.25,288.5,31.14,0.17,Sobreobturado
II,28,Mesial,Oclusal,ninguna,ninguna,ninguna,39.5,con_tejido,Estratificacion,Con fibra de vidrio,3.75,173.6,8.65,0.18,Sobreobturado
III,26,Mesial,Lingual,ninguna,ninguna,ninguna,10.25,con_tejido,Estratificacion,Compuesta,1.0,53.56,6.55,-0.2,Subobturado
V,5,Bucal,ninguna,ninguna,ninguna,ninguna,16.0,con_tejido,Estratificacion,Bulk,3.75,301.25,30.83,0.05,Equiobturado
V,16,Bucal,ninguna,ninguna,ninguna,ninguna,8.25,con_tejido,Bulk,Compuesta,3.0,189.53,17.84,0.17,Sobreobturado
V,4,Bucal,ninguna,ninguna,ninguna,ninguna,7.75,con_tejido,Bulk,Bulk,1.5,87.97,4.73,0.18,Sobreobturado
II,32,Mesial,Oclusal,Lingual,ninguna,ninguna,33.75,limpia,Bulk,Con fibra de vidrio,1.25,164.2,24.47,0.0,Equiobturado
VI,10,Incisal,ninguna,ninguna,ninguna,ninguna,17.75,limpia,Bulk,Bulk,2.0,155.33,26.85,0.08,Equiobturado
I,32,Oclusal,ninguna,ninguna,ninguna,ninguna,4.0,limpia,Bulk,Con fibra de vidrio,2.5,112.5,9.55,-0.12,Subobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,95.25,limpia,Estratificacion,Compuesta,3.0,821.0,109.83,-0.16,Subobturado
II,15,Mesial,Distal,Oclusal,Bucal,Lingual,119.75,con_tejido,Bulk,Bulk,1.75,985.0,58.54,0.12,Sobreobturado
V,25,Bucal,ninguna,ninguna,ninguna,ninguna,17.75,limpia,Estratificacion,Fluida,3.75,315.47,45.61,-0.05,Subobturado
II,29,Mesial,Oclusal,Bucal,ninguna,ninguna,44.5,limpia,Estratificacion,Fluida,1.5,185.38,14.41,0.17,Sobreobturado
I,6,Oclusal,ninguna,ninguna,ninguna,ninguna,5.5,limpia,Estratificacion,Con fibra de vidrio,3.75,182.5,10.29,0.04,Equiobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Compuesta,4.0,173.75,11.56,0.2,Sobreobturado
II,3,Mesial,Oclusal,Bucal,ninguna,ninguna,64.75,con_tejido,Bulk,Bulk,3.75,529.12,65.54,-0.06,Subobturado
II,3,Mesial,Distal,Oclusal,Bucal,ninguna,108.0,limpia,Bulk,Compuesta,2.5,832.0,123.38,0.05,Equiobturado
II,17,Distal,Oclusal,ninguna,ninguna,ninguna,39.75,con_tejido,Bulk,Fluida,3.25,209.84,16.07,-0.01,Subobturado
II,20,Mesial,Oclusal,Bucal,ninguna,ninguna,36.0,con_tejido,Bulk,Bulk,1.75,153.99,4.94,0.1,Equiobturado
II,12,Distal,Oclusal,Bucal,ninguna,ninguna,30.0,con_tejido,Bulk,Con fibra de vidrio,1.0,64.2,6.2,-0.03,Subobturado
IV,23,Distal,Bucal,Lingual,ninguna,ninguna,49.5,con_tejido,Bulk,Con fibra de vidrio,3.25,345.06,32.87,0.15,Sobreobturado
II,31,Mesial,Distal,Oclusal,Lingual,ninguna,87.5,con_tejido,Bulk,Compuesta,2.75,770.0,88.79,-0.15,Subobturado
III,8,Distal,Lingual,ninguna,ninguna,ninguna,12.5,con_tejido,Bulk,Fluida,3.0,138.12,14.86,0.01,Equiobturado
V,31,Bucal,ninguna,ninguna,ninguna,ninguna,11.0,con_tejido,Bulk,Con fibra de vidrio,1.75,110.0,10.98,0.15,Sobreobturado
III,24,Distal,Lingual,ninguna,ninguna,ninguna,14.0,limpia,Bulk,Compuesta,3.0,150.5,7.99,0.15,Sobreobturado
II,30,Mesial,Distal,Oclusal,Bucal,ninguna,87.0,limpia,Estratificacion,Con fibra de vidrio,3.25,808.0,35.16,0.18,Sobreobturado
V,3,Bucal,ninguna,ninguna,ninguna,ninguna,18.0,limpia,Bulk,Compuesta,3.0,237.5,17.03,-0.17,Subobturado
II,19,Mesial,Distal,Oclusal,Bucal,Lingual,139.25,limpia,Estratificacion,Con fibra de vidrio,2.5,1146.67,112.86,0.17,Sobreobturado
V,16,Bucal,ninguna,ninguna,ninguna,ninguna,12.0,limpia,Bulk,Compuesta,3.5,252.5,30.49,-0.08,Subobturado
